datetime,tempm,hum,pressurem,conds
2018-01-09 00:00:00,1.0,52,1026,Clear
2018-01-09 00:30:00,0.0,55,1026,Clear
2018-01-09 01:00:00,0.0,55,1026,Clear
2018-01-09 01:30:00,0.0,55,1026,Clear
2018-01-09 02:00:00,0.0,51,1025,Clear
2018-01-09 02:30:00,0.0,51,1026,Clear
2018-01-09 03:00:00,0.0,55,1025,Clear
2018-01-09 03:30:00,-1.0,60,1025,Clear
2018-01-09 04:00:00,-1.0,60,1025,Clear
2018-01-09 04:30:00,-1.0,60,1025,Clear
2018-01-09 05:00:00,-1.0,60,1026,Clear
2018-01-09 05:30:00,0.0,55,1026,Clear
2018-01-09 06:00:00,-1.0,64,1026,Clear
2018-01-09 06:30:00,-1.0,64,1026,Clear
2018-01-09 07:00:00,0.0,60,1026,Clear
2018-01-09 07:30:00,0.0,60,1026,Clear
2018-01-09 08:00:00,0.0,60,1026,Clear
2018-01-09 08:30:00,1.0,52,1026,Clear
2018-01-09 09:00:00,2.0,48,1026,Clear
2018-01-09 09:30:00,3.0,45,1026,Clear
2018-01-09 10:00:00,3.0,41,1026,Clear
2018-01-09 10:30:00,4.0,39,1026,Clear
2018-01-09 11:00:00,5.0,36,1025,Clear
2018-01-09 11:30:00,5.0,36,1025,Clear
2018-01-09 12:00:00,5.0,33,1024,Clear
2018-01-09 12:30:00,6.0,29,1024,Clear
2018-01-09 13:00:00,6.0,29,1024,Clear
2018-01-09 13:30:00,6.0,29,1023,Clear
2018-01-09 14:00:00,6.0,27,1023,Clear
2018-01-09 14:30:00,6.0,29,1023,Clear
2018-01-09 15:00:00,6.0,31,1023,Clear
2018-01-09 15:30:00,6.0,29,1023,Clear
2018-01-09 16:00:00,6.0,31,1023,Clear
2018-01-09 16:30:00,6.0,31,1023,Clear
2018-01-09 17:00:00,5.0,36,1023,Clear
2018-01-09 17:30:00,5.0,36,1023,Clear
2018-01-09 18:00:00,5.0,39,1024,Clear
2018-01-09 18:30:00,4.0,42,1024,Clear
2018-01-09 19:00:00,4.0,42,1024,Clear
2018-01-09 19:30:00,4.0,42,1024,Clear
2018-01-09 20:00:00,4.0,42,1024,Clear
2018-01-09 20:30:00,4.0,45,1025,Clear
2018-01-09 21:00:00,3.0,52,1024,Clear
2018-01-09 21:30:00,3.0,52,1025,Clear
2018-01-09 22:00:00,3.0,52,1025,Clear
2018-01-09 22:30:00,3.0,52,1025,Clear
2018-01-09 23:00:00,2.0,60,1025,Clear
2018-01-09 23:30:00,2.0,60,1026,Clear
2018-01-08 00:00:00,4.0,87,1017,Overcast
2018-01-08 00:30:00,4.0,87,1018,Overcast
2018-01-08 01:00:00,4.0,87,1018,Overcast
2018-01-08 01:30:00,4.0,87,1018,Overcast
2018-01-08 02:00:00,4.0,87,1018,Overcast
2018-01-08 02:30:00,3.0,87,1019,Overcast
2018-01-08 03:30:00,3.0,87,1018,Overcast
2018-01-08 04:00:00,3.0,87,1017,Overcast
2018-01-08 04:30:00,3.0,87,1018,Overcast
2018-01-08 05:00:00,3.0,87,1018,Overcast
2018-01-08 05:30:00,3.0,87,1019,Overcast
2018-01-08 06:00:00,3.0,87,1018,Overcast
2018-01-08 06:30:00,3.0,87,1018,Overcast
2018-01-08 07:00:00,3.0,87,1019,Overcast
2018-01-08 07:30:00,4.0,81,1020,Overcast
2018-01-08 08:00:00,3.0,87,1020,Overcast
2018-01-08 08:30:00,4.0,81,1020,Overcast
2018-01-08 09:00:00,4.0,81,1020,Overcast
2018-01-08 09:30:00,4.0,75,1021,Overcast
2018-01-08 10:00:00,3.0,81,1021,Overcast
2018-01-08 10:30:00,4.0,75,1021,Overcast
2018-01-08 11:00:00,3.0,81,1021,Overcast
2018-01-08 11:30:00,4.0,70,1020,Overcast
2018-01-08 12:00:00,4.0,70,1020,Haze
2018-01-08 12:30:00,4.0,70,1020,Haze
2018-01-08 13:00:00,4.0,70,1019,Haze
2018-01-08 13:30:00,4.0,65,1019,Haze
2018-01-08 14:00:00,4.0,65,1019,Haze
2018-01-08 14:30:00,4.0,65,1019,Haze
2018-01-08 15:00:00,4.0,65,1020,Haze
2018-01-08 15:30:00,4.0,65,1020,Haze
2018-01-08 16:00:00,4.0,65,1020,Haze
2018-01-08 16:30:00,4.0,65,1020,Haze
2018-01-08 17:00:00,4.0,65,1020,Haze
2018-01-08 17:30:00,4.0,65,1021,Haze
2018-01-08 18:00:00,3.0,65,1021,Haze
2018-01-08 18:30:00,3.0,70,1021,Haze
2018-01-08 19:00:00,3.0,65,1022,Haze
2018-01-08 19:30:00,3.0,60,1022,Scattered Clouds
2018-01-08 20:00:00,2.0,56,1023,Scattered Clouds
2018-01-08 20:30:00,2.0,52,1023,Clear
2018-01-08 21:00:00,2.0,52,1024,Clear
2018-01-08 21:30:00,1.0,56,1024,Clear
2018-01-08 22:00:00,1.0,56,1025,Clear
2018-01-08 22:30:00,1.0,56,1024,Clear
2018-01-08 23:00:00,1.0,52,1025,Clear
2018-01-08 23:30:00,1.0,52,1025,Clear
