datetime,tempm,hum,pressurem,conds
2017-12-31 00:00:00,7.0,81,1028,Overcast
2017-12-31 00:30:00,7.0,76,1029,Partly Cloudy
2017-12-31 01:00:00,6.0,81,1028,Partly Cloudy
2017-12-31 01:30:00,6.0,81,1028,Partly Cloudy
2017-12-31 02:00:00,6.0,81,1029,Mostly Cloudy
2017-12-31 02:30:00,5.0,81,1029,Mostly Cloudy
2017-12-31 03:00:00,5.0,87,1029,Mostly Cloudy
2017-12-31 03:30:00,5.0,87,1028,Mostly Cloudy
2017-12-31 04:30:00,5.0,81,1028,Mostly Cloudy
2017-12-31 05:00:00,5.0,81,1028,Mostly Cloudy
2017-12-31 05:30:00,5.0,81,1029,Mostly Cloudy
2017-12-31 06:00:00,5.0,81,1029,Mostly Cloudy
2017-12-31 06:30:00,5.0,81,1029,Mostly Cloudy
2017-12-31 07:00:00,4.0,81,1030,Mostly Cloudy
2017-12-31 07:30:00,4.0,87,1029,Mostly Cloudy
2017-12-31 08:00:00,5.0,81,1030,Mostly Cloudy
2017-12-31 08:30:00,5.0,76,1030,Mostly Cloudy
2017-12-31 09:00:00,5.0,76,1030,Mostly Cloudy
2017-12-31 09:30:00,6.0,76,1030,Haze
2017-12-31 10:00:00,6.0,70,1030,Haze
2017-12-31 10:30:00,6.0,70,1030,Haze
2017-12-31 11:00:00,7.0,66,1029,Haze
2017-12-31 11:30:00,7.0,66,1029,Haze
2017-12-31 12:00:00,8.0,66,1028,Haze
2017-12-31 12:30:00,9.0,62,1028,Haze
2017-12-31 13:30:00,9.0,58,1027,Haze
2017-12-31 14:00:00,10.0,54,1027,Haze
2017-12-31 14:30:00,10.0,58,1027,Haze
2017-12-31 15:30:00,10.0,54,1027,Haze
2017-12-31 16:00:00,9.0,50,1027,Haze
2017-12-31 16:30:00,8.0,57,1027,Haze
2017-12-31 17:30:00,7.0,61,1027,Haze
2017-12-31 18:00:00,7.0,66,1027,Haze
2017-12-31 18:30:00,7.0,71,1027,Haze
2017-12-31 19:00:00,7.0,76,1027,Haze
2017-12-31 19:30:00,7.0,76,1027,Mist
2017-12-31 20:00:00,7.0,76,1027,Mist
2017-12-31 20:30:00,6.0,76,1027,Mist
2017-12-31 21:00:00,6.0,76,1028,Mist
2017-12-31 21:30:00,6.0,81,1028,Mist
2017-12-31 22:00:00,6.0,76,1028,Mist
2017-12-31 22:30:00,6.0,81,1028,Mist
2017-12-31 23:00:00,6.0,81,1028,Mist
2017-12-31 23:30:00,6.0,81,1028,Mist
2017-12-30 00:00:00,11.0,76,1028,Overcast
2017-12-30 00:30:00,11.0,76,1028,Overcast
2017-12-30 01:00:00,11.0,76,1027,Overcast
2017-12-30 01:30:00,11.0,76,1027,Overcast
2017-12-30 02:00:00,11.0,76,1028,Overcast
2017-12-30 03:00:00,11.0,76,1028,Overcast
2017-12-30 03:30:00,11.0,76,1028,Overcast
2017-12-30 04:00:00,10.0,82,1027,Overcast
2017-12-30 04:30:00,10.0,87,1027,Light Rain
2017-12-30 05:00:00,10.0,87,1026,Overcast
2017-12-30 05:30:00,10.0,87,1026,Overcast
2017-12-30 06:00:00,10.0,82,1026,Overcast
2017-12-30 06:30:00,10.0,82,1027,Overcast
2017-12-30 07:00:00,10.0,82,1027,Light Rain
2017-12-30 07:30:00,10.0,87,1027,Light Rain
2017-12-30 08:00:00,10.0,82,1027,Light Rain
2017-12-30 08:30:00,10.0,87,1027,Light Rain
2017-12-30 09:00:00,10.0,87,1027,Mostly Cloudy
2017-12-30 09:30:00,10.0,87,1027,Mostly Cloudy
2017-12-30 10:00:00,10.0,87,1027,Light Rain
2017-12-30 10:30:00,11.0,82,1026,Light Rain
2017-12-30 11:00:00,11.0,82,1026,Mostly Cloudy
2017-12-30 11:30:00,11.0,82,1026,Mostly Cloudy
2017-12-30 12:00:00,11.0,82,1025,Light Rain
2017-12-30 12:30:00,11.0,82,1025,Mostly Cloudy
2017-12-30 13:00:00,11.0,82,1025,Light Rain
2017-12-30 13:30:00,10.0,87,1025,Light Rain
2017-12-30 14:00:00,10.0,94,1024,Light Rain
2017-12-30 14:30:00,10.0,94,1024,Light Rain
