datetime,temperature(℃),humidity(%),pressure(mbar)
20180524104847,28.9,25.6,1009.8
20180524105917,33.0,15.3,1009.8
20180524110020,33.0,14.1,1009.8
20180524110123,33.8,14.1,1009.8
20180524110400,34.5,13.2,1009.7
20180524110640,34.5,13.3,1009.6
20180524110743,34.9,14.0,1009.5
20180524110846,34.9,13.1,1009.6
20180524110949,35.3,14.0,1009.5
20180524111052,35.7,13.6,1009.4
20180524111155,35.6,12.0,1009.5
20180524111259,35.1,13.0,1009.5
20180524111402,35.8,12.7,1009.4
20180524111505,35.9,11.4,1009.4
20180524111608,36.5,10.7,1009.4
20180524111711,36.7,11.9,1009.3
20180524111814,37.0,13.9,1009.5
20180524111917,37.6,11.3,1009.5
20180524112020,38.1,12.5,1009.4
20180524112123,37.4,11.4,1009.3
20180524112227,38.1,11.3,1009.4
20180524112330,36.6,10.8,1009.5
20180524112433,37.0,11.1,1009.4
20180524112536,36.8,11.4,1009.3
20180524112639,36.5,11.7,1009.3
20180524112742,36.9,11.2,1009.3
20180524112845,36.7,12.1,1009.2
20180524112948,37.2,10.7,1009.3
20180524113051,37.0,10.7,1009.3
20180524113155,37.6,10.5,1009.3
20180524113258,37.5,10.3,1009.2
20180524113401,37.1,10.4,1009.2
20180524113504,37.1,11.4,1009.2
20180524113607,37.2,10.1,1009.2
20180524113710,37.5,11.0,1009.2
20180524113813,37.9,10.0,1009.3
20180524113916,37.0,11.1,1009.2
20180524114020,36.7,10.4,1009.3
20180524114123,36.9,13.2,1009.2
20180524114226,36.5,10.2,1009.2
20180524114329,37.2,9.7,1009.3
20180524114432,36.7,10.2,1009.1
20180524114535,37.5,9.8,1009.2
20180524114638,37.1,10.2,1009.2
20180524114741,37.7,10.3,1009.3
20180524114844,37.5,9.9,1009.2
20180524114948,37.6,9.9,1009.2
20180524115051,38.0,9.2,1009.2
20180524115154,38.1,9.9,1009.2
20180524115257,38.0,10.0,1009.1
20180524115400,38.1,10.2,1009.3
20180524115503,37.9,10.5,1009.2
20180524115606,37.9,10.6,1009.2
20180524115709,37.7,10.7,1009.1
20180524115812,37.1,10.8,1009.1
20180524115915,36.8,10.4,1009.2
20180524120018,37.0,10.5,1009.2
20180524120122,37.2,10.2,1009.2
20180524120225,37.7,11.9,1009.1
20180524120328,36.8,10.5,1009.0
20180524120431,37.4,9.8,1009.2
20180524120534,36.8,9.9,1009.0
20180524120637,36.4,10.0,1009.0
20180524120740,36.6,10.1,1008.9
20180524120843,37.2,10.0,1009.0
20180524120946,36.0,10.5,1008.9
20180524121049,36.6,10.1,1008.9
20180524121153,36.0,10.9,1009.0
20180524121256,37.0,10.9,1009.0
20180524121359,37.8,10.2,1008.9
20180524121502,37.8,10.1,1008.8
20180524121605,36.3,11.1,1009.0
20180524121708,36.7,10.6,1008.8
20180524121811,37.3,10.5,1008.9
20180524121914,37.0,11.0,1009.0
20180524122017,36.9,11.4,1008.9
20180524122120,36.8,11.3,1008.9
20180524122224,36.8,10.9,1008.9
20180524122327,36.7,10.7,1008.9
20180524122430,37.4,10.7,1008.9
20180524122533,36.9,10.6,1008.8
20180524122636,37.6,10.4,1008.7
20180524122739,37.0,10.5,1008.8
20180524122842,37.7,11.1,1008.7
20180524122945,37.9,10.4,1008.9
20180524123048,37.8,10.9,1008.7
20180524123151,38.0,9.7,1008.8
20180524123255,37.3,10.5,1008.6
20180524123358,38.0,9.1,1008.8
20180524123501,37.6,9.7,1008.7
20180524123604,37.7,10.4,1008.6
20180524123707,38.2,9.7,1008.7
20180524123810,38.1,9.9,1008.5
20180524123913,38.0,10.4,1008.5
20180524124016,38.2,10.2,1008.6
20180524124119,38.2,10.2,1008.4
20180524124222,38.2,10.0,1008.4
20180524124326,38.3,10.6,1008.5
20180524124429,38.1,10.0,1008.2
20180524124532,38.4,9.3,1008.4
20180524124635,37.5,10.0,1008.2
20180524124738,38.0,10.6,1008.2
20180524124841,38.5,10.2,1008.3
20180524124944,38.6,9.8,1008.3
20180524125047,38.6,9.1,1008.4
20180524125150,38.3,9.5,1008.3
20180524125253,38.4,9.9,1008.3
20180524125356,38.5,9.2,1008.2
20180524125500,38.6,8.9,1008.3
20180524125603,38.7,10.2,1008.3
20180524125706,38.0,9.4,1008.2
20180524125809,37.5,10.9,1008.1
20180524125912,38.1,9.2,1008.2
20180524130015,38.2,9.9,1008.0
20180524130118,37.8,9.5,1008.2
20180524130221,38.8,9.5,1008.2
20180524130324,38.6,9.7,1008.1
20180524130427,38.4,9.3,1008.0
20180524130531,37.7,9.5,1008.0
20180524130634,38.2,10.0,1008.0
20180524130737,38.5,9.5,1008.1
20180524130840,38.9,9.5,1008.0
20180524130943,38.6,9.5,1008.0
20180524131046,37.4,9.3,1008.0
20180524131149,38.4,9.4,1007.9
20180524131252,37.7,9.4,1007.9
20180524131355,37.5,9.6,1008.0
20180524131458,37.5,9.8,1007.9
20180524131601,37.9,9.5,1007.9
20180524131705,37.2,9.4,1007.9
20180524131808,37.6,9.7,1007.9
20180524131911,37.4,9.6,1007.8
20180524132014,37.5,8.8,1007.8
20180524132117,36.8,9.3,1007.8
20180524132220,36.9,9.6,1007.7
20180524132323,38.1,9.2,1007.8
20180524132426,37.7,9.6,1007.8
20180524132529,36.8,9.6,1007.8
20180524132632,37.8,9.3,1007.8
20180524132735,37.4,8.7,1007.8
20180524132839,37.1,8.5,1007.7
20180524132942,36.9,8.9,1007.6
20180524133045,36.6,9.4,1007.7
20180524133148,36.9,8.8,1007.7
20180524133251,37.1,8.6,1007.7
20180524133354,36.8,8.6,1007.5
20180524133457,37.4,8.6,1007.6
20180524133600,37.2,9.3,1007.6
20180524133703,37.0,8.4,1007.6
20180524133806,36.8,9.0,1007.6
20180524133909,36.4,8.6,1007.5
20180524134013,36.6,9.1,1007.6
20180524134116,38.0,10.5,1007.5
20180524134219,38.9,9.2,1007.5
20180524134322,39.2,8.9,1007.7
20180524134425,38.9,8.5,1007.6
20180524134528,39.0,9.6,1007.6
20180524134631,38.9,8.9,1007.7
20180524134734,39.0,10.5,1007.6
20180524134837,39.3,10.9,1007.7
20180524134940,39.5,9.1,1007.7
20180524135044,39.2,9.3,1007.6
20180524135147,39.0,9.6,1007.6
20180524135250,39.3,10.3,1007.7
20180524135353,39.3,10.2,1007.7
20180524135456,38.6,9.9,1007.5
20180524135559,39.2,10.8,1007.5
20180524135702,39.2,11.9,1007.7
20180524135805,39.0,9.4,1007.4
20180524135908,39.1,11.1,1007.5
20180524140011,39.0,8.6,1007.4
20180524140115,39.1,10.8,1007.2
20180524140218,39.4,8.9,1007.3
20180524140321,39.6,9.0,1007.3
20180524140424,39.3,9.5,1007.3
20180524140527,39.5,9.9,1007.2
20180524140630,39.4,9.8,1007.3
20180524140733,39.6,9.1,1007.2
20180524140836,39.1,9.8,1007.5
20180524140939,39.1,9.6,1007.1
20180524141042,39.0,9.7,1007.0
20180524141146,39.2,11.3,1007.1
20180524141249,39.7,10.6,1007.1
20180524141352,39.5,9.7,1007.1
20180524141455,38.9,10.9,1007.0
20180524141558,38.8,11.3,1006.9
20180524141701,39.4,11.5,1007.0
20180524141804,39.3,10.5,1007.1
20180524141907,39.3,10.6,1007.1
20180524142010,39.5,11.3,1007.1
20180524142113,39.8,10.4,1007.1
20180524142217,39.8,10.6,1007.0
20180524142320,39.6,10.5,1007.1
20180524142423,39.9,10.5,1007.0
20180524142526,39.4,10.1,1007.0
20180524142629,39.6,11.1,1006.9
20180524142732,39.8,10.2,1007.1
20180524142835,39.9,10.8,1007.0
20180524142938,40.0,10.9,1007.0
20180524143041,39.7,11.3,1006.9
20180524143144,40.0,11.1,1007.0
20180524143248,39.7,11.3,1007.0
20180524143351,39.8,11.0,1007.0
