datetime,temperature(℃),humidity(%),pressure(mbar),hazardous
20181109084738,25.1,41.6,1022.9,False
20181109084746,25.1,41.6,1022.9,False
20181109084754,25.1,41.6,1023.0,False
20181109084802,25.2,41.5,1022.9,False
20181109084810,25.2,41.5,1022.9,False
20181109084818,25.2,41.4,1022.9,False
20181109084826,25.2,41.3,1022.9,False
20181109084834,25.3,41.3,1022.9,False
20181109084842,25.3,41.2,1022.9,False
20181109084851,25.4,41.1,1022.9,False
20181109084859,25.4,41.0,1022.9,False
20181109084907,25.4,41.0,1023.0,False
20181109084915,25.5,40.8,1022.9,False
20181109084923,25.5,40.8,1022.9,False
20181109084931,25.6,40.6,1022.9,False
20181109084939,25.6,40.6,1022.9,False
20181109084947,25.7,40.4,1022.9,False
20181109084955,25.7,40.4,1022.9,False
20181109085003,25.7,40.4,1023.0,False
20181109085011,25.7,40.3,1022.9,False
20181109085019,25.7,40.3,1022.9,False
20181109085027,25.7,40.4,1022.9,False
20181109085035,25.7,40.2,1022.9,False
20181109085043,25.8,40.1,1023.0,False
20181109085051,25.8,40.0,1022.9,False
20181109085059,25.8,40.0,1022.9,False
20181109085107,25.9,40.0,1022.9,False
20181109085115,25.9,39.9,1022.9,False
20181109085124,25.9,40.0,1022.9,False
20181109085132,25.9,40.0,1022.9,False
20181109085140,25.9,40.0,1022.9,False
20181109085148,25.9,39.8,1022.9,False
20181109085156,26.0,39.8,1022.9,False
20181109085204,26.0,39.8,1022.9,False
20181109085212,26.0,39.8,1022.9,False
20181109085220,26.0,39.7,1022.9,False
20181109085228,26.0,39.7,1022.9,False
20181109085236,26.0,39.9,1022.9,False
20181109085244,26.0,39.8,1022.9,False
20181109085252,26.0,39.8,1022.9,False
20181109085300,26.0,39.8,1022.9,False
20181109085308,26.0,39.7,1022.9,False
20181109085316,26.0,39.7,1022.9,False
20181109085324,26.0,39.7,1023.0,False
20181109085332,26.0,39.7,1022.9,False
20181109085341,26.0,39.7,1022.9,False
20181109085349,26.0,39.6,1022.9,False
20181109085357,26.0,39.6,1022.9,False
20181109085405,26.0,39.6,1022.9,False
20181109085413,26.1,39.6,1022.9,False
20181109085421,26.1,39.5,1022.9,False
20181109085429,26.0,39.6,1022.9,False
20181109085437,26.1,39.6,1022.9,False
20181109085445,26.1,39.5,1022.9,False
20181109085524,26.2,39.3,1022.9,False
20181109085538,26.2,39.3,1022.8,False
20181109085551,26.2,39.2,1022.8,False
20181109085602,26.3,39.1,1022.8,False
20181109085614,26.3,39.1,1022.8,False
20181109085627,26.4,38.9,1022.9,False
20181109085642,26.5,38.7,1022.9,False
20181109085656,26.5,38.6,1022.9,False
20181109085710,26.5,38.5,1022.9,False
20181109085723,26.6,38.4,1022.9,False
20181109085737,26.7,38.3,1022.9,False
20181109085752,26.7,38.4,1022.9,False
20181109090549,26.4,38.9,1022.9,False
20181109090603,26.5,38.6,1022.9,False
20181109090616,26.5,38.5,1022.9,False
20181109090630,26.7,38.2,1022.9,False
