,datetime,tempm,hum,pressurem,conds,hazardous
0,2018-05-26 00:00:00,22.0,100,1002,scattered clouds,False
1,2018-05-26 00:30:00,22.0,100,1002,light rain showers,True
2,2018-05-26 01:00:00,22.0,100,1002,light rain showers,True
3,2018-05-26 02:00:00,22.0,100,1002,light rain showers,True
4,2018-05-26 03:00:00,22.0,100,1002,mostly cloudy,False
5,2018-05-26 03:30:00,22.0,100,1003,mostly cloudy,False
6,2018-05-26 04:00:00,22.0,100,1003,light rain showers,True
7,2018-05-26 04:30:00,22.0,100,1003,light rain showers,True
8,2018-05-26 05:00:00,22.0,100,1003,light rain showers,True
9,2018-05-26 05:30:00,22.0,100,1004,mostly cloudy,False
10,2018-05-26 06:00:00,22.0,100,1004,mostly cloudy,False
11,2018-05-26 06:30:00,22.0,100,1005,mostly cloudy,False
12,2018-05-26 07:00:00,23.0,94,1005,mostly cloudy,False
13,2018-05-26 07:30:00,22.0,100,1005,mostly cloudy,False
14,2018-05-26 08:00:00,23.0,94,1006,mostly cloudy,False
15,2018-05-26 09:00:00,23.0,94,1006,mostly cloudy,False
16,2018-05-26 09:30:00,23.0,94,1006,mostly cloudy,False
17,2018-05-26 10:00:00,24.0,89,1006,mostly cloudy,False
18,2018-05-26 10:30:00,23.0,94,1006,mostly cloudy,False
19,2018-05-26 11:00:00,24.0,89,1007,mostly cloudy,False
20,2018-05-26 11:30:00,23.0,88,1007,mostly cloudy,False
21,2018-05-26 12:00:00,23.0,83,1007,mostly cloudy,False
22,2018-05-26 12:30:00,23.0,83,1007,mostly cloudy,False
23,2018-05-26 13:00:00,24.0,78,1007,mostly cloudy,False
24,2018-05-26 13:30:00,23.0,83,1007,mostly cloudy,False
25,2018-05-26 14:00:00,23.0,83,1007,mostly cloudy,False
26,2018-05-26 14:30:00,23.0,83,1007,mostly cloudy,False
27,2018-05-26 15:30:00,23.0,83,1007,mostly cloudy,False
28,2018-05-26 16:00:00,23.0,83,1007,mostly cloudy,False
29,2018-05-26 16:30:00,22.0,83,1007,mostly cloudy,False
30,2018-05-26 17:00:00,22.0,83,1007,mostly cloudy,False
31,2018-05-26 17:30:00,22.0,83,1007,mostly cloudy,False
32,2018-05-26 18:00:00,21.0,88,1008,mostly cloudy,False
33,2018-05-26 18:30:00,21.0,88,1008,mostly cloudy,False
34,2018-05-26 19:00:00,21.0,88,1009,mostly cloudy,False
35,2018-05-26 19:30:00,21.0,88,1009,mostly cloudy,False
36,2018-05-26 20:00:00,21.0,88,1009,mostly cloudy,False
37,2018-05-26 20:30:00,21.0,88,1010,mostly cloudy,False
38,2018-05-26 21:00:00,20.0,94,1010,mostly cloudy,False
39,2018-05-26 22:00:00,20.0,94,1010,mostly cloudy,False
40,2018-05-26 22:30:00,20.0,94,1010,mostly cloudy,False
41,2018-05-26 23:00:00,20.0,94,1010,mostly cloudy,False
42,2018-05-26 23:30:00,20.0,94,1010,mostly cloudy,False
43,2018-05-25 00:00:00,22.0,46,1007,clear,False
44,2018-05-25 00:30:00,22.0,53,1006,clear,False
45,2018-05-25 01:00:00,22.0,53,1006,clear,False
46,2018-05-25 01:30:00,22.0,57,1006,clear,False
47,2018-05-25 02:00:00,22.0,57,1006,clear,False
48,2018-05-25 02:30:00,22.0,57,1006,clear,False
49,2018-05-25 03:00:00,21.0,64,1006,light thunderstorms and rain,True
50,2018-05-25 03:30:00,18.0,88,1006,heavy thunderstorms and rain,True
51,2018-05-25 04:00:00,18.0,94,1006,light rain showers,True
52,2018-05-25 04:30:00,18.0,94,1005,light rain showers,True
53,2018-05-25 05:00:00,19.0,88,1005,light rain showers,True
54,2018-05-25 05:30:00,19.0,88,1005,light rain showers,True
55,2018-05-25 06:00:00,19.0,88,1005,clear,False
56,2018-05-25 06:30:00,19.0,88,1005,partly cloudy,False
57,2018-05-25 07:00:00,19.0,94,1005,heavy thunderstorms and rain,True
58,2018-05-25 07:30:00,19.0,94,1006,heavy thunderstorms and rain,True
59,2018-05-25 08:00:00,19.0,100,1006,thunderstorms and rain,True
60,2018-05-25 08:30:00,19.0,100,1005,light thunderstorms and rain,True
61,2018-05-25 09:00:00,20.0,100,1005,light rain showers,True
62,2018-05-25 09:30:00,21.0,94,1004,mostly cloudy,False
63,2018-05-25 10:00:00,22.0,94,1004,mostly cloudy,False
64,2018-05-25 10:30:00,22.0,94,1003,mostly cloudy,False
65,2018-05-25 11:00:00,22.0,94,1003,mostly cloudy,False
66,2018-05-25 11:30:00,23.0,88,1004,mostly cloudy,False
67,2018-05-25 12:00:00,23.0,88,1004,mostly cloudy,False
68,2018-05-25 12:30:00,22.0,94,1004,light rain showers,True
69,2018-05-25 13:30:00,22.0,94,1003,light rain showers,True
70,2018-05-25 14:00:00,23.0,88,1003,overcast,False
71,2018-05-25 14:30:00,23.0,94,1002,overcast,False
72,2018-05-25 15:00:00,23.0,88,1002,partly cloudy,False
73,2018-05-25 15:30:00,24.0,83,1002,clear,False
74,2018-05-25 16:00:00,24.0,83,1002,clear,False
75,2018-05-25 16:30:00,24.0,83,1001,overcast,False
76,2018-05-25 17:00:00,23.0,88,1002,heavy rain showers,True
77,2018-05-25 17:30:00,23.0,88,1002,light rain showers,True
78,2018-05-25 18:00:00,23.0,88,1002,thunderstorm,True
79,2018-05-25 18:30:00,23.0,88,1002,partly cloudy,False
80,2018-05-25 19:00:00,22.0,94,1001,scattered clouds,False
81,2018-05-25 19:30:00,22.0,94,1002,partly cloudy,False
82,2018-05-25 20:30:00,22.0,94,1002,heavy thunderstorms and rain,True
83,2018-05-25 21:00:00,22.0,94,1003,heavy thunderstorms and rain,True
84,2018-05-25 21:30:00,22.0,100,1003,thunderstorms and rain,True
85,2018-05-25 22:00:00,22.0,100,1002,light thunderstorms and rain,True
86,2018-05-25 22:30:00,22.0,100,1002,light rain showers,True
87,2018-05-25 23:00:00,22.0,100,1002,light rain showers,True
88,2018-05-25 23:30:00,22.0,100,1002,scattered clouds,False
89,2018-05-24 00:00:00,20.0,68,1011,clear,False
90,2018-05-24 00:30:00,19.0,73,1011,clear,False
91,2018-05-24 01:00:00,19.0,73,1011,clear,False
92,2018-05-24 02:00:00,19.0,78,1011,clear,False
93,2018-05-24 02:30:00,19.0,73,1011,clear,False
94,2018-05-24 03:00:00,19.0,73,1011,clear,False
95,2018-05-24 03:30:00,19.0,78,1010,clear,False
96,2018-05-24 04:30:00,18.0,83,1011,clear,False
97,2018-05-24 05:00:00,18.0,83,1011,clear,False
98,2018-05-24 05:30:00,18.0,77,1012,clear,False
99,2018-05-24 06:00:00,19.0,78,1011,clear,False
100,2018-05-24 06:30:00,20.0,73,1012,clear,False
101,2018-05-24 07:00:00,21.0,64,1012,clear,False
102,2018-05-24 07:30:00,22.0,53,1012,clear,False
103,2018-05-24 08:00:00,23.0,47,1012,clear,False
104,2018-05-24 09:00:00,25.0,29,1012,clear,False
105,2018-05-24 10:00:00,27.0,23,1012,clear,False
106,2018-05-24 10:30:00,27.0,18,1012,clear,False
107,2018-05-24 11:00:00,27.0,18,1012,clear,False
108,2018-05-24 12:00:00,28.0,16,1011,clear,False
109,2018-05-24 12:30:00,28.0,15,1011,clear,False
110,2018-05-24 13:00:00,28.0,14,1010,clear,False
111,2018-05-24 13:30:00,28.0,13,1010,clear,False
112,2018-05-24 14:00:00,27.0,15,1009,clear,False
113,2018-05-24 14:30:00,26.0,16,1009,clear,False
114,2018-05-24 15:00:00,27.0,16,1008,clear,False
115,2018-05-24 15:30:00,26.0,21,1008,clear,False
116,2018-05-24 16:00:00,25.0,24,1008,clear,False
117,2018-05-24 16:30:00,25.0,22,1009,clear,False
118,2018-05-24 17:00:00,23.0,38,1008,light rain showers,True
119,2018-05-24 17:30:00,24.0,29,1008,clear,False
120,2018-05-24 18:00:00,23.0,33,1008,clear,False
121,2018-05-24 18:30:00,23.0,36,1008,clear,False
122,2018-05-24 19:00:00,23.0,33,1008,clear,False
123,2018-05-24 19:30:00,23.0,38,1008,clear,False
124,2018-05-24 20:00:00,22.0,41,1008,clear,False
125,2018-05-24 20:30:00,22.0,41,1008,clear,False
126,2018-05-24 21:00:00,23.0,36,1008,clear,False
127,2018-05-24 21:30:00,23.0,33,1008,clear,False
128,2018-05-24 22:00:00,23.0,33,1008,clear,False
129,2018-05-24 22:30:00,22.0,35,1008,clear,False
130,2018-05-24 23:00:00,22.0,38,1008,clear,False
131,2018-05-24 23:30:00,22.0,43,1007,clear,False
