datetime,events,distance(KM)
20180524104847,1,-1
20180524104848,1,-1
20180524104849,1,-1
20180524104850,1,-1
20180524104851,1,-1
20180524104852,1,-1
20180524104853,1,-1
20180524104854,1,-1
20180524104855,1,-1
20180524104856,1,-1
20180524104857,1,-1
20180524104858,1,-1
20180524104859,1,-1
20180524104900,1,-1
20180524104901,1,-1
20180524104903,1,-1
20180524104904,1,-1
20180524104905,1,-1
20180524104906,1,-1
20180524104907,1,-1
20180524104908,1,-1
20180524104909,1,-1
20180524104910,1,-1
20180524104911,1,-1
20180524104912,1,-1
20180524104913,1,-1
20180524104914,1,-1
20180524104915,1,-1
20180524104916,1,-1
20180524104917,1,-1
20180524104918,1,-1
20180524104920,1,-1
20180524104921,1,-1
20180524104922,1,-1
20180524104923,1,-1
20180524104924,1,-1
20180524104925,1,-1
20180524104926,1,-1
20180524104927,1,-1
20180524104928,1,-1
20180524104929,1,-1
20180524104930,1,-1
20180524104931,1,-1
20180524105917,4,-1
20180524105918,0,-1
20180524105919,0,-1
20180524105920,0,-1
20180524105921,0,-1
20180524105923,0,-1
20180524105924,0,-1
20180524105925,0,-1
20180524105926,0,-1
20180524105927,0,-1
20180524105928,0,-1
20180524105929,0,-1
20180524105930,0,-1
20180524105931,0,-1
20180524105932,0,-1
20180524105933,0,-1
20180524105934,0,-1
20180524105935,0,-1
20180524105936,0,-1
20180524105937,0,-1
20180524105938,0,-1
20180524105939,0,-1
20180524105940,0,-1
20180524105941,0,-1
20180524105942,0,-1
20180524105944,0,-1
20180524105945,0,-1
20180524105946,0,-1
20180524105947,0,-1
20180524105948,0,-1
20180524105949,0,-1
20180524105950,0,-1
20180524105951,0,-1
20180524105952,0,-1
20180524105953,0,-1
20180524105954,0,-1
20180524105955,0,-1
20180524105956,0,-1
20180524105957,0,-1
20180524105958,0,-1
20180524105959,0,-1
20180524110000,0,-1
20180524110001,0,-1
20180524110002,0,-1
20180524110003,0,-1
20180524110005,0,-1
20180524110006,0,-1
20180524110007,0,-1
20180524110008,0,-1
20180524110009,0,-1
20180524110010,0,-1
20180524110011,0,-1
20180524110012,0,-1
20180524110013,0,-1
20180524110014,0,-1
20180524110015,0,-1
20180524110016,0,-1
20180524110017,0,-1
20180524110018,0,-1
20180524110019,0,-1
20180524110020,0,-1
20180524110022,0,-1
20180524110023,0,-1
20180524110024,0,-1
20180524110025,0,-1
20180524110026,0,-1
20180524110027,0,-1
20180524110028,0,-1
20180524110029,0,-1
20180524110030,0,-1
20180524110031,0,-1
20180524110032,0,-1
20180524110033,0,-1
20180524110034,0,-1
20180524110035,0,-1
20180524110036,0,-1
20180524110037,0,-1
20180524110038,0,-1
20180524110039,0,-1
20180524110041,0,-1
20180524110042,0,-1
20180524110043,0,-1
20180524110044,0,-1
20180524110045,0,-1
20180524110046,0,-1
20180524110047,0,-1
20180524110048,0,-1
20180524110049,0,-1
20180524110050,0,-1
20180524110051,0,-1
20180524110052,0,-1
20180524110053,0,-1
20180524110054,0,-1
20180524110055,0,-1
20180524110056,0,-1
20180524110057,0,-1
20180524110058,0,-1
20180524110059,0,-1
20180524110101,0,-1
20180524110102,0,-1
20180524110103,0,-1
20180524110104,0,-1
20180524110105,0,-1
