datetime,temperatue,humidity,pressure

































20181109141448,27.2,37.1,1020.1
20181109141451,27.2,37.1,1020.1
20181109141454,27.2,37.0,1020.1
20181109141457,27.2,37.0,1020.1
20181109141500,27.3,36.9,1020.1
20181109141503,27.3,36.9,1020.1
20181109141506,27.3,36.9,1020.1
20181109141509,27.3,36.9,1020.1
20181109141512,27.3,36.9,1020.1
20181109141515,27.3,36.8,1020.1
20181109141519,27.3,36.8,1020.1
20181109141522,27.3,36.8,1020.1
20181109141525,27.3,36.7,1020.0
20181109141528,27.3,36.7,1020.1
20181109141531,27.3,36.7,1020.1
20181109141534,27.3,36.8,1020.1
20181109141537,27.3,36.9,1020.1
20181109141540,27.3,36.9,1020.1
20181109141543,27.3,36.9,1020.1
20181109141547,27.3,36.9,1020.0
20181109141550,27.3,37.0,1020.1
20181109141553,27.3,36.9,1020.1
20181109141556,27.3,45.4,1018.6
20181109141559,28.0,40.9,1020.5
20181109141602,27.7,38.1,1020.2
20181109141605,27.6,37.1,1020.1
20181109141608,27.6,36.8,1020.1
20181109141611,27.6,36.6,1020.1
20181109141615,27.6,36.5,1020.1
20181109141618,27.6,36.4,1020.1
20181109141621,27.6,36.5,1020.1
20181109141624,27.6,36.5,1020.0
20181109141627,27.6,36.6,1020.0
20181109141630,27.6,36.5,1020.1
20181109141633,27.6,36.6,1020.1
20181109141636,27.6,36.5,1020.1
20181109141639,27.6,36.5,1020.1
20181109143242,27.1,37.5,1020.1
20181109143245,27.1,37.5,1020.0
20181109143249,27.1,37.5,1020.1
20181109143252,27.1,37.5,1020.1
20181109143255,27.1,37.5,1020.1
20181109143258,27.2,37.5,1020.0
20181109143301,27.2,37.4,1020.0
20181109143304,27.2,37.4,1020.1
20181109143307,27.2,37.4,1020.0
20181109143310,27.2,37.4,1020.1
20181109143313,27.2,37.4,1020.1
20181109143317,27.2,37.3,1020.1
20181109143320,27.2,37.3,1020.1
20181109143323,27.2,37.3,1020.0
20181109143326,27.2,37.3,1020.0
20181109143329,27.2,37.3,1020.0
20181109143332,27.2,37.2,1020.0
20181109143335,27.2,37.1,1020.0
20181109143338,27.2,37.1,1020.0
20181109143341,27.3,37.1,1020.0
20181109143345,27.3,37.0,1020.0
20181109143348,27.3,37.0,1020.1
20181109143351,27.3,37.0,1020.1
20181109143354,27.3,37.0,1020.0
20181109143357,27.3,37.0,1020.0
20181109143400,27.3,37.0,1020.1
20181109143403,27.3,37.1,1020.1
20181109144111,27.3,37.4,1020.0
20181109150752,28.1,35.5,1020.0
20181109150755,28.1,35.5,1020.0
20181109150758,28.2,35.4,1019.9
20181109150801,28.2,35.4,1020.0
20181109150804,28.2,35.4,1019.9
20181109150807,28.2,35.3,1019.9
20181109150811,28.2,35.3,1019.9
20181109150814,28.2,35.2,1020.0
20181109150817,28.2,35.2,1020.0
20181109150820,28.2,35.4,1019.9
20181109150823,28.2,35.4,1020.0
20181109150826,28.2,35.4,1019.9
20181109150829,28.3,35.3,1020.0
20181109150832,28.2,35.3,1020.0
20181109150835,28.2,35.4,1020.0
20181109150839,28.2,35.4,1020.0
20181109150842,28.3,35.3,1020.0
