datetime,temperature(℃),tempm,humidity(%),hum,pressure(mbar),pressurem,pred_hazardous,hazardous,conds
2018-05-24 11:00:00,25.2,27.0,24.1,18.0,1009.8,1012.0,False,False,clear
2018-05-24 12:00:00,29.2,28.0,20.5,16.0,1009.2,1011.0,False,False,clear
2018-05-24 12:30:00,29.999999999999996,28.0,20.9,15.0,1008.7,1011.0,False,False,clear
2018-05-24 13:00:00,30.400000000000002,28.0,19.9,14.0,1008.0,1010.0,False,False,clear
2018-05-24 13:30:00,28.8,28.0,19.4,13.0,1007.7,1010.0,False,False,clear
2018-05-24 14:00:00,31.2,27.0,18.6,15.0,1007.4,1009.0,False,False,clear
2018-05-24 14:30:00,31.900000000000002,26.0,21.3,16.0,1006.9,1009.0,False,False,clear
2018-05-24 15:00:00,31.900000000000002,27.0,22.5,16.0,1006.3,1008.0,False,False,clear
2018-05-24 15:30:00,32.2,26.0,21.7,21.0,1006.6,1008.0,False,False,clear
2018-05-24 16:00:00,31.599999999999998,25.0,21.3,24.0,1006.7,1008.0,False,False,clear
2018-05-24 16:30:00,31.400000000000002,25.0,22.2,22.0,1006.6,1009.0,False,False,clear
2018-05-24 17:00:00,31.7,23.0,22.4,38.0,1006.4,1008.0,False,True,light rain showers
2018-05-24 17:30:00,29.400000000000002,24.0,24.7,29.0,1006.2,1008.0,False,False,clear
2018-05-24 18:00:00,28.999999999999996,23.0,25.7,33.0,1006.2,1008.0,False,False,clear
2018-05-24 18:30:00,29.999999999999996,23.0,25.3,36.0,1006.0,1008.0,False,False,clear
2018-05-24 19:30:00,29.099999999999998,23.0,25.0,38.0,1006.0,1008.0,False,False,clear
2018-05-24 20:00:00,29.7,22.0,25.2,41.0,1006.1,1008.0,False,False,clear
2018-05-24 20:30:00,28.999999999999996,22.0,26.7,41.0,1006.0,1008.0,False,False,clear
2018-05-24 21:00:00,27.400000000000002,23.0,28.9,36.0,1005.7,1008.0,False,False,clear
2018-05-24 21:30:00,27.3,23.0,29.8,33.0,1005.7,1008.0,False,False,clear
2018-05-24 22:00:00,28.3,23.0,29.3,33.0,1005.7,1008.0,False,False,clear
2018-05-24 22:30:00,31.2,22.0,26.8,35.0,1005.6,1008.0,False,False,clear
2018-05-24 23:00:00,31.099999999999998,22.0,27.8,38.0,1005.4,1008.0,False,False,clear
2018-05-24 23:30:00,30.7,22.0,29.3,43.0,1005.3,1007.0,False,False,clear
2018-05-25 00:00:00,30.599999999999998,22.0,30.8,46.0,1004.7,1007.0,False,False,clear
2018-05-25 00:30:00,30.400000000000002,22.0,31.5,53.0,1004.2,1006.0,False,False,clear
2018-05-25 01:00:00,30.400000000000002,22.0,32.1,53.0,1003.8,1006.0,False,False,clear
2018-05-25 01:30:00,30.3,22.0,32.5,57.0,1003.6,1006.0,False,False,clear
2018-05-25 02:00:00,30.400000000000002,22.0,32.8,57.0,1003.3,1006.0,False,False,clear
2018-05-25 02:30:00,30.599999999999998,22.0,33.2,57.0,1003.2,1006.0,False,False,clear
2018-05-25 03:00:00,30.400000000000002,21.0,33.7,64.0,1003.5,1006.0,False,True,light thunderstorms and rain
2018-05-25 03:30:00,30.2,18.0,35.5,88.0,1003.0,1006.0,False,True,heavy thunderstorms and rain
2018-05-25 04:00:00,29.999999999999996,18.0,36.6,94.0,1003.1,1006.0,False,True,light rain showers
2018-05-25 05:00:00,29.999999999999996,19.0,37.0,88.0,1003.3,1005.0,False,True,light rain showers
2018-05-25 05:30:00,29.599999999999998,19.0,38.0,88.0,1003.0,1005.0,False,True,light rain showers
2018-05-25 06:00:00,29.900000000000002,19.0,38.0,88.0,1002.8,1005.0,False,False,clear
2018-05-25 06:30:00,29.999999999999996,19.0,38.1,88.0,1003.1,1005.0,False,False,partly cloudy
2018-05-25 07:00:00,29.999999999999996,19.0,38.6,94.0,1002.7,1005.0,False,True,heavy thunderstorms and rain
2018-05-25 07:30:00,29.400000000000002,19.0,40.6,94.0,1003.5,1006.0,False,True,heavy thunderstorms and rain
2018-05-25 08:00:00,27.7,19.0,47.0,100.0,1003.9,1006.0,False,True,thunderstorms and rain
2018-05-25 08:30:00,17.4,19.0,80.5,100.0,1002.9,1005.0,False,True,light thunderstorms and rain
2018-05-25 09:00:00,19.3,20.0,75.3,100.0,1002.6,1005.0,False,True,light rain showers
2018-05-25 09:30:00,21.5,21.0,69.8,94.0,1002.2,1004.0,False,False,mostly cloudy
2018-05-25 10:00:00,20.9,22.0,72.8,94.0,1001.8,1004.0,False,False,mostly cloudy
